Order;OWL URI;Download Time (ms);Axiom Count
1;http://data.bioontology.org/ontologies/ICO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5904;4607
2;http://data.bioontology.org/ontologies/TMO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2152;1152
3;http://data.bioontology.org/ontologies/HEIO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;23325;16629
4;http://data.bioontology.org/ontologies/FB-CV/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;14028;5213
5;http://data.bioontology.org/ontologies/NIFDYS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;20966;5687
6;http://data.bioontology.org/ontologies/ONTOAD/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;27390;74376
7;http://data.bioontology.org/ontologies/HIVO004/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3837;4409
8;http://data.bioontology.org/ontologies/SIO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;8577;11222
9;http://data.bioontology.org/ontologies/RPO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;9640;22546
10;http://data.bioontology.org/ontologies/BIRNLEX/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;19879;40396
11;http://data.bioontology.org/ontologies/GBM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1418;477
12;http://data.bioontology.org/ontologies/NCRO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;23639;24033
13;http://data.bioontology.org/ontologies/OPL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7912;2898
14;http://data.bioontology.org/ontologies/EDDA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6501;2591
15;http://data.bioontology.org/ontologies/AURA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;185805;86611
16;http://data.bioontology.org/ontologies/GFO-BIO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1074;385
17;http://data.bioontology.org/ontologies/FHHO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2252;1874
18;http://data.bioontology.org/ontologies/ONTODM-KDD/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5187;1466
19;http://data.bioontology.org/ontologies/OGMS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4006;545
20;http://data.bioontology.org/ontologies/BRO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4817;2490
21;http://data.bioontology.org/ontologies/MEDO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1088;355
22;http://data.bioontology.org/ontologies/COGAT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;9839;16102
23;http://data.bioontology.org/ontologies/HL7/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;166637;124227
24;http://data.bioontology.org/ontologies/CCONT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7350;809
25;http://data.bioontology.org/ontologies/ONTOKBCF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3691;1373
26;http://data.bioontology.org/ontologies/EPILONT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;871;741
27;http://data.bioontology.org/ontologies/TM-OTHER-FACTORS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;413;64
28;http://data.bioontology.org/ontologies/GENE-CDS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;8828;10600
29;http://data.bioontology.org/ontologies/ICF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;12044;26872
30;http://data.bioontology.org/ontologies/LHN/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3031;1828
31;http://data.bioontology.org/ontologies/OCRE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1127;30
32;http://data.bioontology.org/ontologies/TM-SIGNS-AND-SYMPTS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3652;2371
33;http://data.bioontology.org/ontologies/FIRE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;674;402
34;http://data.bioontology.org/ontologies/NTDO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7953;93
35;http://data.bioontology.org/ontologies/SCHEMA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;14965;6546
36;http://data.bioontology.org/ontologies/OPB/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2867;3413
37;http://data.bioontology.org/ontologies/MWLA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1397;542
38;http://data.bioontology.org/ontologies/CANCO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1724;811
39;http://data.bioontology.org/ontologies/SITBAC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4324;1467
40;http://data.bioontology.org/ontologies/NMR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4963;1096
41;http://data.bioontology.org/ontologies/TOP-MENELAS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3358;5035
42;http://data.bioontology.org/ontologies/CDAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1182;931
43;http://data.bioontology.org/ontologies/BHN/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6944;10237
44;http://data.bioontology.org/ontologies/ROO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6278;7261
45;http://data.bioontology.org/ontologies/NLMVS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;270774;273287
46;http://data.bioontology.org/ontologies/ONTOTOXNUC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2570;2642
47;http://data.bioontology.org/ontologies/MEO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4224;4463
48;http://data.bioontology.org/ontologies/ICD9CM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;242326;306326
49;http://data.bioontology.org/ontologies/CU-VO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6965;91584
50;http://data.bioontology.org/ontologies/CCON/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;815;1229
51;http://data.bioontology.org/ontologies/BIOMODELS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;114633;1905822
52;http://data.bioontology.org/ontologies/BDO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;16051;13980
53;http://data.bioontology.org/ontologies/BAO-GPCR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3899;7610
54;http://data.bioontology.org/ontologies/NIHSS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;503;870
55;http://data.bioontology.org/ontologies/OBIWS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2796;2241
56;http://data.bioontology.org/ontologies/ATC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;72789;60905
57;http://data.bioontology.org/ontologies/ANCESTRO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1044;1705
58;http://data.bioontology.org/ontologies/MSTDE-FRE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;33471;21684
59;http://data.bioontology.org/ontologies/TM-CONST/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;283;94
60;http://data.bioontology.org/ontologies/PMR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;288;317
61;http://data.bioontology.org/ontologies/SSE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3521;5253
62;http://data.bioontology.org/ontologies/BMT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3455;3020
63;http://data.bioontology.org/ontologies/OBIB/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4842;5832
64;http://data.bioontology.org/ontologies/QUDT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4030;970
65;http://data.bioontology.org/ontologies/ONTODM-CORE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6493;2347
66;http://data.bioontology.org/ontologies/BCO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4784;3941
67;http://data.bioontology.org/ontologies/DCM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2036;13088
68;http://data.bioontology.org/ontologies/PATHLEX/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3913;7174
69;http://data.bioontology.org/ontologies/ERO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;27566;30519
70;http://data.bioontology.org/ontologies/EDAM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;13924;29082
71;http://data.bioontology.org/ontologies/ASDPTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1767;1434
72;http://data.bioontology.org/ontologies/TYPON/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1420;356
73;http://data.bioontology.org/ontologies/CHEMINF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5799;1601
74;http://data.bioontology.org/ontologies/GFO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;446;479
75;http://data.bioontology.org/ontologies/CAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2039;1677
76;http://data.bioontology.org/ontologies/SD3/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1617;149
77;http://data.bioontology.org/ontologies/NGSONTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1859;717
78;http://data.bioontology.org/ontologies/RSA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1729;80
79;http://data.bioontology.org/ontologies/PHARE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1337;2169
80;http://data.bioontology.org/ontologies/AMINO-ACID/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1556;572
81;http://data.bioontology.org/ontologies/DCO-DEBUGIT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;8166;7268
82;http://data.bioontology.org/ontologies/BHO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1956;2619
83;http://data.bioontology.org/ontologies/ADMIN/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2081;624
84;http://data.bioontology.org/ontologies/CYTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2263;5700
85;http://data.bioontology.org/ontologies/BP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1748;714
86;http://data.bioontology.org/ontologies/MCCV/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3499;555
87;http://data.bioontology.org/ontologies/AI-RHEUM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;11300;5963
88;http://data.bioontology.org/ontologies/EOL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6149;4617
89;http://data.bioontology.org/ontologies/COSTART/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;28031;21648
90;http://data.bioontology.org/ontologies/SPO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;9624;1882
91;http://data.bioontology.org/ontologies/PEAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;13603;729
92;http://data.bioontology.org/ontologies/MO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7111;4689
93;http://data.bioontology.org/ontologies/ADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3208;8334
94;http://data.bioontology.org/ontologies/CARRE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2911;1058
95;http://data.bioontology.org/ontologies/IDODEN/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;18813;28984
96;http://data.bioontology.org/ontologies/OGDI/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4630;2613
97;http://data.bioontology.org/ontologies/NMOBR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;9256;0
98;http://data.bioontology.org/ontologies/HUPSON/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;19205;23522
