Index;OWL URI;Time Spent (ms);Exception Cause; Exception Detail
1;http://data.bioontology.org/ontologies/TMA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;290;Anonymous ontologies are not compatible with OWLtoSQL.;
2;http://data.bioontology.org/ontologies/APAONTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;37591;Anonymous ontologies are not compatible with OWLtoSQL.;
3;http://data.bioontology.org/ontologies/TRANS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1883;Anonymous ontologies are not compatible with OWLtoSQL.;
4;http://data.bioontology.org/ontologies/GMM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1429;Anonymous ontologies are not compatible with OWLtoSQL.;
5;http://data.bioontology.org/ontologies/RNRMU/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2920;Anonymous ontologies are not compatible with OWLtoSQL.;
6;http://data.bioontology.org/ontologies/CHD/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4920;Anonymous ontologies are not compatible with OWLtoSQL.;
7;http://data.bioontology.org/ontologies/SURGICAL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1304;Anonymous ontologies are not compatible with OWLtoSQL.;
8;http://data.bioontology.org/ontologies/GAZ/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;516333;Anonymous ontologies are not compatible with OWLtoSQL.;
9;http://data.bioontology.org/ontologies/PLIO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4971;Anonymous ontologies are not compatible with OWLtoSQL.;
10;http://data.bioontology.org/ontologies/STY/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2323;Anonymous ontologies are not compatible with OWLtoSQL.;
11;http://data.bioontology.org/ontologies/CTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5355;Anonymous ontologies are not compatible with OWLtoSQL.;
12;http://data.bioontology.org/ontologies/LEGALAPA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;785;Could not load imported ontology: <file:/Users/olgagiraldo/Desktop/apaMasiveOUT/Adjudication_cluster.owl> Cause: \Users\olgagiraldo\Desktop\apaMasiveOUT\Adjudication_cluster.owl (The system cannot find the path specified);Imported Ontology Problem
13;http://data.bioontology.org/ontologies/APACOMPUTER/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1731;Could not load imported ontology: <http://alexandergarcia.name/ontos/computer/EducationTraining.owl> Cause: Server returned HTTP response code: 403 for URL: http://www.alexandergarcia.name/ontos/computer/EducationTraining.owl;Imported Ontology Problem
14;http://data.bioontology.org/ontologies/APADISORDERS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2565;Could not load imported ontology: <http://alexandergarcia.name/ontos/disorders/DisorderCharacteristics.owl> Cause: Server returned HTTP response code: 403 for URL: http://www.alexandergarcia.name/ontos/disorders/DisorderCharacteristics.owl;Imported Ontology Problem
15;http://data.bioontology.org/ontologies/APAEDUCLUSTER/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3401;Could not load imported ontology: <http://alexandergarcia.name/ontos/educational/SchoolsInstitutions.owl> Cause: Server returned HTTP response code: 403 for URL: http://www.alexandergarcia.name/ontos/educational/SchoolsInstitutions.owl;Imported Ontology Problem
16;http://data.bioontology.org/ontologies/LEGALAPATEST2/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1236;Could not load imported ontology: <http://alexandergarcia.name/ontos/legal/Adjudication_cluster.owl> Cause: Server returned HTTP response code: 403 for URL: http://www.alexandergarcia.name/ontos/legal/Adjudication_cluster.owl;Imported Ontology Problem
17;http://data.bioontology.org/ontologies/APANEUROCLUSTER/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1281;Could not load imported ontology: <http://alexandergarcia.name/ontos/neuro/Electrophysiology.owl> Cause: Server returned HTTP response code: 403 for URL: http://www.alexandergarcia.name/ontos/neuro/Electrophysiology.owl;Imported Ontology Problem
18;http://data.bioontology.org/ontologies/APAOCUEMPLOY/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1385;Could not load imported ontology: <http://alexandergarcia.name/ontos/ocupationalemployment/PersonnelManagementProfessionalPersonnelIssues.owl> Cause: Server returned HTTP response code: 403 for URL: http://www.alexandergarcia.name/ontos/ocupationalemployment/PersonnelManagementProfessionalPersonnelIssues.owl;Imported Ontology Problem
19;http://data.bioontology.org/ontologies/APASTATISTICAL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1282;Could not load imported ontology: <http://alexandergarcia.name/ontos/statistical/StatisticalReliabilityValidity.owl> Cause: Server returned HTTP response code: 403 for URL: http://www.alexandergarcia.name/ontos/statistical/StatisticalReliabilityValidity.owl;Imported Ontology Problem
20;http://data.bioontology.org/ontologies/APATANDT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1983;Could not load imported ontology: <http://alexandergarcia.name/ontos/teststesting/Testing.owl> Cause: Server returned HTTP response code: 403 for URL: http://www.alexandergarcia.name/ontos/teststesting/Testing.owl;Imported Ontology Problem
